id,address,area,bedrooms,bikeScore,datetime,distanceToNearestIntersection,geotag,has_image,has_map,name,postalCode,price,repost_of,sideOfStreet,transitScore,url,walkScore,where
6911917730,320 Chauncey St,,3,64.0,2019-06-21 14:34,0.0,"[40.681519, -73.91972]",True,True,you’re in good hands...t e x t us to view bk’s best *no fee* apts,11233-2410,$2700,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-youre-in-good-handst-x-us-to/6911917730.html,92.0,bed-stuy
6917210186,530 W 143rd St,800ft2,1,88.0,2019-06-21 14:33,203.48355337292944,"[40.8246, -73.9507]",True,True,spacious 1br penthouse with deck!! near col univ!!,10031-6501,$2600,6810575698,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-spacious-1br-penthouse/6917210186.html,98.0,harlem / morningside
6914527887,410 Pulaski St,,3,79.0,2019-06-21 14:33,0.01311430441842278,"[40.69409, -73.934269]",True,True,this is the one you’ve been looking for… call today to view,11221-2377,$2875,,R,97.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-this-is-the-one-youve-been/6914527887.html,94.0,bed-stuy
6914529944,410 Pulaski St,,3,79.0,2019-06-21 14:33,0.01311430441842278,"[40.69409, -73.934269]",True,True,simplify your search with us**pro team w/ big inventory of no fee apts,11221-2377,$2800,,R,97.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-simplify-your-search-with/6914529944.html,94.0,bed-stuy
6917173545,4754 Center Blvd,653ft2,1,81.0,2019-06-21 14:33,61.30149686764414,"[40.7454, -73.9575]",True,True,sunny 1br in long island city. brand new renovation + no fee!,11109-5606,$3500,6900433386,L,100.0,https://newyork.craigslist.org/que/abo/d/long-island-city-sunny-1br-in-long/6917173545.html,93.0,
6915622461,97 Saint Marks Pl,,1,95.0,2019-06-21 14:31,74.55786387017606,"[40.727356, -73.98468]",True,True,gorgeous true 1 bedroom in east village--e10/1st ave--no fee,10009-5117,$3000,4894315913,L,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-gorgeous-true-1-bedroom/6915622461.html,100.0,east village
6915400788,332 Irving Ave,,2,87.0,2019-06-21 14:31,1.0490469887573721,"[40.69841, -73.913309]",True,True,spacious   2br just 1 block from l and m trains,11237-5717,$2300,,R,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-2br-just-1-block-from/6915400788.html,96.0,bushwick
6915405145,1149 Bushwick Ave,,3,77.0,2019-06-21 14:31,0.0,"[40.689218, -73.917649]",True,True,beautiful renovated 3br - laundry in unit - no fee,11221-4802,$2875,,L,95.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-renovated-3br/6915405145.html,94.0,bushwick
6917234115,287 1st St,1189ft2,2,86.0,2019-06-21 14:31,0.0,"[40.7221, -74.0469]",True,True,granite countertops in this gorgeous 2br/2ba apartment!,07302-2714,$4545,,L,81.0,https://newyork.craigslist.org/jsy/abo/d/jersey-city-granite-countertops-in-this/6917234115.html,99.0,"jersey city, nj"
6908895228,14 Linden Pl,605ft2,1,65.0,2019-06-21 14:30,81.22465278646109,"[41.0602, -73.5445]",True,True,"historic loft style 1br, heat included in rent!",06902-2305,$2065,,L,,https://newyork.craigslist.org/fct/abo/d/stamford-historic-loft-style-1br-heat/6908895228.html,88.0,
6917212935,215 W 139th St,400ft2,1,77.0,2019-06-21 14:30,92.9977491287573,"[40.8183, -73.9426]",True,True,beautiful furnished one bedroom for sublet 7/1 thru 8/31,10030-2104,$1900,,R,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-beautiful-furnished-one/6917212935.html,98.0,upper east side
6917223949,2199 Bergen St,800ft2,1,82.0,2019-06-21 14:30,0.0,"[40.673762, -73.907469]",True,True,bright&sunny 1 bed!near subway/laundry!amazing offer!must see!,11233-4336,$1750,6904314545,L,100.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-brightsunny-1-bednear-subway/6917223949.html,93.0,crown heights
6917222439,304 E 12th St,,2,93.0,2019-06-21 14:29,94.38015106610695,"[40.730641, -73.985152]",True,True,flex 2 bedrooms steps to union square--e12th/2nd ave--august 1,10003-7201,$2850,4894315913,R,100.0,https://newyork.craigslist.org/mnh/abo/d/new-york-city-flex-2-bedrooms-steps-to/6917222439.html,100.0,east village
6917211801,1386 Nostrand Ave,,1,67.0,2019-06-21 14:28,0.0,"[40.652642, -73.949769]",True,True,beautiful   1br in flatbush  in-unit washer/dryer,11226-2503,$2421,,R,99.0,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-1br-in-flatbush-in/6917211801.html,96.0,flatbush
6914292260,6418 174th St,,3,62.0,2019-06-21 14:28,57.9201224981124,"[40.7374, -73.7951]",False,True,3 bed room private house for rent modern style semi furnished,11365-2017,$2400,,R,70.0,https://newyork.craigslist.org/que/abo/d/fresh-meadows-3-bed-room-private-house/6914292260.html,80.0,fresh meadows/bayside flushing
6917211563,Queens Blvd,550ft2,1,72.0,2019-06-21 14:27,2.721631140450409,"[40.7229, -73.8473]",True,True,huge l-shape studio (all included),11375,$1650,6843518946,R,100.0,https://newyork.craigslist.org/que/abo/d/forest-hills-huge-shape-studio-all/6917211563.html,96.0,forest hills
6917179887,6485 Booth St,850ft2,1,71.0,2019-06-21 14:27,111.5523370856317,"[40.7278, -73.8602]",True,True,about 66-15 thornton place,11374-4013,$800,,L,100.0,https://newyork.craigslist.org/que/abo/d/rego-park-about-thornton-place/6917179887.html,96.0,rego park
6907602787,14 Linden Pl,801ft2,1,65.0,2019-06-21 14:27,81.22465278646109,"[41.0602, -73.5445]",True,True,"billards and game room with wi-fi, shuttle service, covered parking",06902-2305,$2179,,L,,https://newyork.craigslist.org/fct/abo/d/stamford-billards-and-game-room-with-wi/6907602787.html,88.0,
