,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
0,54344,320 Chauncey St,,3.0,64.0,100.0,92.0,2019-06-21 18:34:00+00:00,0.0000,True,True,YOU’RE IN GOOD HANDS...T E X T US TO VIEW BK’S BEST *NO FEE* APTS,2700,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-youre-in-good-handst-x-us-to/6911917730.html,40.681519,-73.919720,False,True,False,11233,Central Brooklyn,Brooklyn
1,54346,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-21 18:33:00+00:00,0.0131,True,True,THIS IS THE ONE YOU’VE BEEN LOOKING FOR… CALL TODAY TO VIEW,2875,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-this-is-the-one-youve-been/6914527887.html,40.694090,-73.934269,False,False,False,11221,Bushwick and Williamsburg,Brooklyn
2,54347,410 Pulaski St,,3.0,79.0,97.0,94.0,2019-06-21 18:33:00+00:00,0.0131,True,True,SIMPLIFY YOUR SEARCH WITH US**PRO TEAM W/ BIG INVENTORY OF NO FEE APTS,2800,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-simplify-your-search-with/6914529944.html,40.694090,-73.934269,False,True,False,11221,Bushwick and Williamsburg,Brooklyn
3,54349,332 Irving Ave,,2.0,87.0,100.0,96.0,2019-06-21 18:31:00+00:00,1.0490,True,True,Spacious   2br just 1 block from L and M trains,2300,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-2br-just-1-block-from/6915400788.html,40.698410,-73.913309,False,False,False,11237,Bushwick and Williamsburg,Brooklyn
4,54350,1149 Bushwick Ave,,3.0,77.0,95.0,94.0,2019-06-21 18:31:00+00:00,0.0000,True,True,Beautiful renovated 3br - laundry in unit - no fee,2875,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-renovated-3br/6915405145.html,40.689218,-73.917649,False,True,False,11221,Bushwick and Williamsburg,Brooklyn
5,54352,2199 Bergen St,800.0,1.0,82.0,100.0,93.0,2019-06-21 18:30:00+00:00,0.0000,True,True,Bright&Sunny 1 bed!Near Subway/laundry!Amazing Offer!MUST SEE!,1750,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-brightsunny-1-bednear-subway/6917223949.html,40.673762,-73.907469,True,False,True,11233,Central Brooklyn,Brooklyn
6,54354,1386 Nostrand Ave,,1.0,67.0,99.0,96.0,2019-06-21 18:28:00+00:00,0.0000,True,True,Beautiful   1br in flatbush  in-unit washer/dryer,2421,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-beautiful-1br-in-flatbush-in/6917211801.html,40.652642,-73.949769,False,False,False,11226,Flatbush,Brooklyn
7,54359,334 Franklin Ave,,1.0,85.0,100.0,95.0,2019-06-21 18:26:00+00:00,0.0216,True,True,**1Bedroom-1Bath In The Heart Of Bed-Stuy,2200,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-1bedroom-1bath-in-the-heart-of/6917174366.html,40.687729,-73.956987,False,False,False,11238,Central Brooklyn,Brooklyn
8,54361,790 Lexington Ave,,3.0,72.0,92.0,96.0,2019-06-21 18:52:00+00:00,0.0000,True,True,"Cut your search time in half… work with experienced,to find apt",3000,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-cut-your-search-time-in-half/6911933111.html,40.690369,-73.927547,False,False,False,11221,Bushwick and Williamsburg,Brooklyn
9,54363,552 Gates Ave,,2.0,79.0,100.0,91.0,2019-06-21 18:51:00+00:00,129.3105,True,True,AMAZING 2BR 1.5BA*SPACIOUS APT *Roof Top*Yard*Laundry Room*,2383,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-amazing-2br-15baspacious-apt/6917203546.html,40.686789,-73.943471,False,False,False,11221,Bushwick and Williamsburg,Brooklyn
10,54364,1023 Avenue K,,2.0,76.0,89.0,95.0,2019-06-21 18:51:00+00:00,22.3142,True,True,Spacious 2 Bedroom Close to the Subway,2000,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-spacious-2-bedroom-close-to/6917230768.html,40.622500,-73.965000,False,False,False,11230,Borough Park,Brooklyn
11,54367,500 Decatur St,,2.0,66.0,100.0,94.0,2019-06-21 18:50:00+00:00,0.0000,True,True,EXTRAORDINARY LAYOUT WITH AN EXTRA SPACE!__LIVE-WORK__NO FEE!__,2201,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-extraordinary-layout-with-an/6913936497.html,40.682682,-73.922670,False,True,False,11233,Central Brooklyn,Brooklyn
12,54368,362 Hooper St,,1.0,90.0,100.0,97.0,2019-06-21 18:50:00+00:00,0.0000,True,True,EXQUISITE 1 BEDROOM!___EXPOSED BRICK__STAINLESS APPLIANCES___NO FEE,2450,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-exquisite-1-bedroomexposed/6911263200.html,40.708974,-73.952830,False,True,False,11211,Greenpoint,Brooklyn
13,54369,311 Rodney St,,2.0,91.0,100.0,98.0,2019-06-21 18:49:00+00:00,38.0845,True,True,"Williamsburg-No fee, True 2 BR, Charming & Renovated,Exposed Brick 7/1",2850,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-williamsburg-no-fee-true-2-br/6917244723.html,40.708966,-73.956120,False,True,False,11211,Greenpoint,Brooklyn
14,54371,455 E 45th St,,3.0,66.0,79.0,93.0,2019-06-21 18:49:00+00:00,76.4389,True,True,"EAST FLATBUSH🌸BRAND NEW 3BR APT,MASSIVE BEDROMS,CLOSETS,NO FEE",2449,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-east-flatbushbrand-new-3br/6917284042.html,40.650500,-73.934900,False,True,False,11203,Flatbush,Brooklyn
15,54373,384 Cadman Plz W,,,91.0,100.0,99.0,2019-06-21 19:13:00+00:00,77.6518,True,True,33 Bond Street - Studio,2390,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-33-bond-street-studio/6914701781.html,40.694000,-73.990300,False,False,True,11201,Northwest Brooklyn,Brooklyn
